symbol,last_trade_datetime_utc
HSIJ4,2024-04-30 00:00:00
HSIK4,2024-05-31 00:00:00
HSIM4,2024-06-28 00:00:00
HSIN4,2024-07-31 00:00:00
HSIQ4,2024-08-30 00:00:00
HSIU4,2024-09-28 00:00:00
HSIV4,2024-10-31 00:00:00
HSIX4,2024-11-29 00:00:00
HSIZ4,2024-12-31 00:00:00
HSIF5,2025-01-28 00:00:00
HSIG5,2025-02-28 00:00:00
HSIH5,2025-03-29 00:00:00
HSIJ5,2025-04-30 00:00:00
HSIK5,2025-05-30 00:00:00
HSIM5,2025-06-28 00:00:00
HSIN5,2025-07-31 00:00:00
HSIQ5,2025-08-29 00:00:00
HSIU5,2025-09-30 00:00:00
HSIV5,2025-10-31 00:00:00
HSIX5,2025-11-28 00:00:00
HSIZ5,2025-12-31 00:00:00
HSIF6,2026-01-30 00:00:00
HSIG6,2026-02-27 00:00:00
HSIH6,2026-03-31 00:00:00
HSIJ6,2026-04-28 19:00:00
HSIK6,2026-05-27 19:00:00
HSIM6,2026-06-28 19:00:00
HSIN6,2026-07-29 19:00:00
HSIU6,2026-09-28 19:00:00
HSIZ6,2026-12-29 18:00:00
HSIH7,2027-03-29 19:00:00
HSIM7,2027-06-28 19:00:00
HSIZ7,2027-12-29 18:00:00
HSIM8,2028-06-28 19:00:00
HSIZ8,2028-12-27 18:00:00
HSIZ9,2029-12-27 18:00:00
HSIZ0,2030-12-29 18:00:00